Updated On,State,Total Doses Administered,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
16-01-2021,India,48276,48276,0,,,,579,47697,,23757,24517,2
17-01-2021,India,58604,58604,0,,,,635,57969,,27348,31252,4
18-01-2021,India,99449,99449,0,,,,1299,98150,,41361,58083,5
19-01-2021,India,195525,195525,0,,,,3017,192508,,81901,113613,11
20-01-2021,India,251280,251280,0,,,,3946,247334,,98111,153145,24
21-01-2021,India,365965,365965,0,,,,5367,360598,,132784,233143,38
22-01-2021,India,549381,549381,0,,,,8128,541253,,193899,355402,80
23-01-2021,India,759008,759008,0,,,,11192,747816,,267856,491049,103
24-01-2021,India,835058,835058,0,,,,13156,821902,,296283,538647,128
25-01-2021,India,1277104,1277104,0,,,,18858,1258246,,444137,832766,201
26-01-2021,India,1293784,1293784,0,,,,19604,1274180,,449119,844448,217
27-01-2021,India,1726490,1726490,0,,,,27377,1699113,,586081,1140137,272
28-01-2021,India,2295491,2295491,0,,,,36921,2258570,,771229,1523939,323
29-01-2021,India,2814803,2814803,0,,,,43604,2771199,,939069,1875368,366
30-01-2021,India,3067736,3067736,0,,,,48300,3019436,,1022380,2044950,406
31-01-2021,India,3127107,3127107,0,,,,58890,3068217,,1061307,2065391,409
01-02-2021,India,3350265,3350265,0,,,,69372,3280893,,1152344,2197431,490
02-02-2021,India,3527971,3527971,0,,,,76794,3451177,,1218507,2308898,566
03-02-2021,India,3825835,3825835,0,,,,86001,3739834,,1324273,2500887,675
04-02-2021,India,4314304,4314304,0,,,,99015,4215289,,1504527,2809042,735
05-02-2021,India,4765924,4765924,0,,,,133911,4632013,,1710466,3054631,827
06-02-2021,India,5111827,5111827,0,,,,195504,4916323,,1896705,3214244,878
07-02-2021,India,5168099,5168099,0,,,,206130,4961969,,1928947,3238273,879
08-02-2021,India,5615499,5615499,0,,,,290785,5324714,,2211020,3403576,903
