Updated On,State,Total Doses Administered,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered)
16-01-2021,Andaman and Nicobar Islands,23,23,0,12,11,0,0,23,
17-01-2021,Andaman and Nicobar Islands,23,23,0,12,11,0,0,23,
18-01-2021,Andaman and Nicobar Islands,42,42,0,29,13,0,0,42,
19-01-2021,Andaman and Nicobar Islands,89,89,0,53,36,0,0,89,
20-01-2021,Andaman and Nicobar Islands,124,124,0,67,57,0,0,124,
21-01-2021,Andaman and Nicobar Islands,239,239,0,110,129,0,0,239,
22-01-2021,Andaman and Nicobar Islands,552,552,0,231,321,0,0,552,
23-01-2021,Andaman and Nicobar Islands,920,920,0,342,578,0,0,920,
24-01-2021,Andaman and Nicobar Islands,966,966,0,357,609,0,0,966,
25-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,0,0,1519,
26-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,0,0,1519,
27-01-2021,Andaman and Nicobar Islands,1519,1519,0,447,1072,0,0,1519,
28-01-2021,Andaman and Nicobar Islands,1956,1956,0,563,1393,0,0,1956,
29-01-2021,Andaman and Nicobar Islands,2024,2024,0,588,1436,0,0,2024,
30-01-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,0,0,2060,
31-01-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,0,0,2060,
01-02-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,0,0,2060,
02-02-2021,Andaman and Nicobar Islands,2060,2060,0,591,1469,0,0,2060,
03-02-2021,Andaman and Nicobar Islands,2107,2107,0,601,1506,0,0,2107,
04-02-2021,Andaman and Nicobar Islands,2290,2290,0,659,1631,0,0,2290,
05-02-2021,Andaman and Nicobar Islands,2514,2514,0,705,1809,0,0,2514,
06-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,0,0,2780,
07-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,0,0,2780,
08-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,0,0,2780,
09-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,0,0,2780,
10-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,0,0,2780,
11-02-2021,Andaman and Nicobar Islands,2780,2780,0,745,2035,0,0,2780,
12-02-2021,Andaman and Nicobar Islands,2852,2852,0,773,2079,0,0,2852,
13-02-2021,Andaman and Nicobar Islands,3040,3040,0,938,2102,0,0,3040,
14-02-2021,Andaman and Nicobar Islands,3040,3040,0,938,2102,0,0,3040,
15-02-2021,Andaman and Nicobar Islands,3467,3363,104,1176,2187,0,0,3363,
16-02-2021,Andaman and Nicobar Islands,3467,3363,104,1176,2187,0,0,3363,
17-02-2021,Andaman and Nicobar Islands,3664,3560,104,1343,2217,0,0,3560,
18-02-2021,Andaman and Nicobar Islands,3846,3505,341,1455,2050,0,0,3505,
19-02-2021,Andaman and Nicobar Islands,4898,4246,652,1805,2441,0,0,4246,
20-02-2021,Andaman and Nicobar Islands,5653,4707,946,2221,2486,0,0,4707,
