Date,State,Confirmed,Recovered,Deceased,Other
30-01-2020,Kerala,1,0,0,0
30-01-2020,India,1,0,0,0
02-02-2020,Kerala,2,0,0,0
02-02-2020,India,2,0,0,0
03-02-2020,Kerala,3,0,0,0
03-02-2020,India,3,0,0,0
14-02-2020,Kerala,3,3,0,0
14-02-2020,India,3,3,0,0
02-03-2020,Delhi,1,0,0,0
02-03-2020,Kerala,3,3,0,0
02-03-2020,Telangana,1,0,0,0
02-03-2020,India,5,3,0,0
03-03-2020,Delhi,1,0,0,0
03-03-2020,Kerala,3,3,0,0
03-03-2020,Rajasthan,1,0,0,0
03-03-2020,Telangana,1,0,0,0
03-03-2020,India,6,3,0,0
04-03-2020,Delhi,1,0,0,0
04-03-2020,Haryana,14,0,0,0
04-03-2020,Kerala,3,3,0,0
04-03-2020,Rajasthan,2,0,0,0
04-03-2020,Telangana,1,0,0,0
04-03-2020,India,28,3,0,0
04-03-2020,Uttar Pradesh,7,0,0,0
05-03-2020,Delhi,2,0,0,0
05-03-2020,Haryana,14,0,0,0
05-03-2020,Kerala,3,3,0,0
05-03-2020,Rajasthan,2,0,0,0
05-03-2020,Telangana,1,0,0,0
05-03-2020,India,30,3,0,0
05-03-2020,Uttar Pradesh,8,0,0,0
06-03-2020,Delhi,3,0,0,0
06-03-2020,Haryana,14,0,0,0
06-03-2020,Kerala,3,3,0,0
06-03-2020,Rajasthan,2,0,0,0
06-03-2020,Telangana,1,0,0,0
06-03-2020,India,31,3,0,0
06-03-2020,Uttar Pradesh,8,0,0,0
07-03-2020,Delhi,3,0,0,0
07-03-2020,Haryana,14,0,0,0
07-03-2020,Kerala,3,3,0,0
07-03-2020,Ladakh,2,0,0,0
07-03-2020,Rajasthan,2,0,0,0
07-03-2020,Telangana,1,0,0,0
07-03-2020,Tamil Nadu,1,0,0,0
07-03-2020,India,34,3,0,0
07-03-2020,Uttar Pradesh,8,0,0,0
08-03-2020,Delhi,3,0,0,0
08-03-2020,Haryana,14,0,0,0
08-03-2020,Kerala,8,3,0,0
08-03-2020,Ladakh,2,0,0,0
08-03-2020,Rajasthan,2,0,0,0
08-03-2020,Telangana,1,0,0,0
08-03-2020,Tamil Nadu,1,0,0,0
08-03-2020,India,39,3,0,0
08-03-2020,Uttar Pradesh,8,0,0,0
09-03-2020,Delhi,4,0,0,0
09-03-2020,Haryana,14,0,0,0
09-03-2020,Jammu and Kashmir,1,0,0,0
09-03-2020,Karnataka,1,0,0,0
09-03-2020,Kerala,9,3,0,0
09-03-2020,Ladakh,2,0,0,0
09-03-2020,Maharashtra,2,0,0,0
09-03-2020,Punjab,1,0,0,0
09-03-2020,Rajasthan,2,0,0,0
09-03-2020,Telangana,1,0,0,0
09-03-2020,Tamil Nadu,1,0,0,0
09-03-2020,India,48,3,0,0
09-03-2020,Uttar Pradesh,10,0,0,0
10-03-2020,Delhi,4,0,0,0
10-03-2020,Haryana,14,0,0,0
10-03-2020,Jammu and Kashmir,1,0,0,0
10-03-2020,Karnataka,4,0,0,0
10-03-2020,Kerala,17,3,0,0
10-03-2020,Ladakh,2,0,0,0
10-03-2020,Maharashtra,5,0,0,0
10-03-2020,Punjab,1,0,0,0
10-03-2020,Rajasthan,3,0,0,0
10-03-2020,Telangana,1,0,0,0
10-03-2020,Tamil Nadu,1,0,0,0
10-03-2020,India,63,3,0,0
10-03-2020,Uttar Pradesh,10,0,0,0
11-03-2020,Delhi,5,0,0,0
11-03-2020,Haryana,14,0,0,0
11-03-2020,Jammu and Kashmir,1,0,0,0
11-03-2020,Karnataka,4,0,0,0
11-03-2020,Kerala,17,3,0,0
11-03-2020,Ladakh,3,0,0,0
11-03-2020,Maharashtra,11,0,0,0
11-03-2020,Punjab,1,0,0,0
11-03-2020,Rajasthan,3,0,0,0
11-03-2020,Telangana,1,0,0,0
11-03-2020,Tamil Nadu,1,0,0,0
11-03-2020,India,71,3,0,0
11-03-2020,Uttar Pradesh,10,0,0,0
12-03-2020,Andhra Pradesh,1,0,0,0
12-03-2020,Delhi,6,0,0,0
12-03-2020,Haryana,14,0,0,0
12-03-2020,Jammu and Kashmir,1,0,0,0
12-03-2020,Karnataka,5,0,0,0
12-03-2020,Kerala,19,3,0,0
12-03-2020,Ladakh,3,0,0,0
12-03-2020,Maharashtra,14,0,0,0
12-03-2020,Punjab,1,0,0,0
12-03-2020,Rajasthan,3,0,0,0
12-03-2020,Telangana,1,0,0,0
12-03-2020,Tamil Nadu,1,0,0,0
12-03-2020,India,81,3,0,0
12-03-2020,Uttar Pradesh,12,0,0,0
13-03-2020,Andhra Pradesh,1,0,0,0
13-03-2020,Delhi,7,0,0,0
13-03-2020,Haryana,14,0,0,0
13-03-2020,Jammu and Kashmir,2,0,0,0
13-03-2020,Karnataka,6,0,1,0
13-03-2020,Kerala,22,3,0,0
13-03-2020,Ladakh,3,0,0,0
13-03-2020,Maharashtra,17,0,0,0
13-03-2020,Punjab,1,0,0,0
13-03-2020,Rajasthan,3,0,0,0
13-03-2020,Telangana,1,0,0,0
13-03-2020,Tamil Nadu,1,0,0,0
13-03-2020,India,91,3,1,0
13-03-2020,Uttar Pradesh,13,0,0,0
14-03-2020,Andhra Pradesh,1,0,0,0
14-03-2020,Delhi,7,0,0,0
14-03-2020,Himachal Pradesh,0,0,0,3
14-03-2020,Haryana,14,0,0,0
14-03-2020,Jammu and Kashmir,2,0,0,0
14-03-2020,Karnataka,6,0,1,0
14-03-2020,Kerala,22,3,0,0
14-03-2020,Ladakh,3,0,0,0
14-03-2020,Maharashtra,26,0,0,0
14-03-2020,Punjab,1,0,0,0
14-03-2020,Rajasthan,4,0,0,0
14-03-2020,Telangana,2,0,0,0
14-03-2020,Tamil Nadu,1,0,0,0
14-03-2020,India,102,3,1,3
14-03-2020,Uttar Pradesh,13,0,0,0
15-03-2020,Andhra Pradesh,1,0,0,0
15-03-2020,Delhi,7,0,0,0
15-03-2020,Himachal Pradesh,0,0,0,3
15-03-2020,Haryana,14,0,0,0
15-03-2020,Jammu and Kashmir,2,0,0,0
15-03-2020,Karnataka,6,0,1,0
15-03-2020,Kerala,24,3,0,0
15-03-2020,Ladakh,3,0,0,0
15-03-2020,Maharashtra,32,0,0,0
15-03-2020,Punjab,1,0,0,0
15-03-2020,Rajasthan,4,0,0,0
15-03-2020,Telangana,3,0,0,0
15-03-2020,Tamil Nadu,1,0,0,0
15-03-2020,India,112,3,1,3
15-03-2020,Uttar Pradesh,13,0,0,0
15-03-2020,Uttarakhand,1,0,0,0
16-03-2020,Andhra Pradesh,1,0,0,0
16-03-2020,Delhi,7,0,0,0
16-03-2020,Himachal Pradesh,0,0,0,3
16-03-2020,Haryana,14,0,0,0
16-03-2020,Jammu and Kashmir,3,0,0,0
16-03-2020,Karnataka,7,0,1,0
16-03-2020,Kerala,27,3,0,0
16-03-2020,Ladakh,3,0,0,0
16-03-2020,Maharashtra,39,0,0,0
16-03-2020,Odisha,1,0,0,0
16-03-2020,Punjab,1,0,0,0
16-03-2020,Rajasthan,4,0,0,0
16-03-2020,Telangana,4,0,0,0
16-03-2020,Tamil Nadu,1,0,0,0
16-03-2020,India,126,3,1,3
16-03-2020,Uttar Pradesh,13,0,0,0
16-03-2020,Uttarakhand,1,0,0,0
17-03-2020,Andhra Pradesh,1,0,0,0
17-03-2020,Delhi,10,0,0,0
17-03-2020,Himachal Pradesh,0,0,0,3
17-03-2020,Haryana,15,0,0,0
17-03-2020,Jammu and Kashmir,3,0,0,0
17-03-2020,Karnataka,11,0,1,0
17-03-2020,Kerala,27,3,0,0
17-03-2020,Ladakh,8,0,0,0
17-03-2020,Maharashtra,41,0,0,0
17-03-2020,Odisha,1,0,0,0
17-03-2020,Punjab,1,0,0,0
17-03-2020,Puducherry,1,0,0,0
17-03-2020,Rajasthan,4,0,0,0
17-03-2020,Telangana,5,0,0,0
17-03-2020,Tamil Nadu,1,0,0,0
17-03-2020,India,146,3,1,3
17-03-2020,Uttar Pradesh,15,0,0,0
17-03-2020,Uttarakhand,1,0,0,0
17-03-2020,West Bengal,1,0,0,0
18-03-2020,Andhra Pradesh,1,0,0,0
18-03-2020,Delhi,11,0,0,0
18-03-2020,Himachal Pradesh,0,0,0,3
18-03-2020,Haryana,17,0,0,0
18-03-2020,Jammu and Kashmir,4,0,0,0
18-03-2020,Karnataka,14,0,1,0
18-03-2020,Kerala,27,3,0,0
18-03-2020,Ladakh,8,0,0,0
18-03-2020,Maharashtra,45,0,0,0
18-03-2020,Odisha,1,0,0,0
18-03-2020,Punjab,1,0,0,0
18-03-2020,Puducherry,1,0,0,0
18-03-2020,Rajasthan,7,0,0,0
18-03-2020,Telangana,13,0,0,0
18-03-2020,Tamil Nadu,2,0,0,0
